City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,port elizabeth,-33.918,25.5701,13.94,66,79,13.93,ZA,2023-07-19
79,villa rica,33.7321,-84.9191,29.79,82,91,0.45,US,2023-07-19
80,portland,45.5234,-122.6762,31.49,35,0,6.69,US,2023-07-19
81,flying fish cove,-10.4217,105.6791,25.82,78,75,7.72,CX,2023-07-19
82,taulaga,-11.0553,-171.0883,27.77,77,91,5.17,AS,2023-07-19
83,kolyvan',55.3053,82.7391,19.79,58,31,3.79,RU,2023-07-19
84,fale old settlement,-9.3852,-171.2468,28.58,74,100,5.63,TK,2023-07-19
85,sharjah,25.3573,55.4033,33.99,62,12,2.57,AE,2023-07-19
86,juneau,58.3019,-134.4197,19.0,100,75,0.0,US,2023-07-19
87,alesund,62.4723,6.1549,12.64,88,75,8.75,NO,2023-07-19
88,margaret river,-33.95,115.0667,9.56,80,92,10.83,AU,2023-07-19
89,inhambane,-23.865,35.3833,17.63,84,0,2.98,MZ,2023-07-19
90,yeed,4.55,43.0333,22.65,68,10,8.62,SO,2023-07-19
91,aztec,36.8222,-107.9929,36.67,20,95,3.82,US,2023-07-19
92,jamestown,42.097,-79.2353,18.8,68,0,0.0,US,2023-07-19
93,al qadarif,14.0349,35.3834,23.4,68,100,7.03,SD,2023-07-19
94,mar del plata,-38.0023,-57.5575,7.75,78,0,2.57,AR,2023-07-19
95,thompson,55.7435,-97.8558,21.09,52,20,4.12,CA,2023-07-19
96,queenstown,-31.8976,26.8753,9.25,56,0,4.3,ZA,2023-07-19
97,constantia,44.1833,28.65,21.38,67,43,4.4,RO,2023-07-19
98,hawaiian paradise park,19.5933,-154.9731,27.73,86,100,5.14,US,2023-07-19
99,port lincoln,-34.7333,135.8667,15.25,59,97,8.39,AU,2023-07-19
100,aasiaat,68.7098,-52.8699,3.79,98,100,3.4,GL,2023-07-19
101,lhokseumawe,5.1801,97.1507,26.71,77,100,2.13,ID,2023-07-19
102,port alfred,-33.5906,26.891,13.43,75,100,5.36,ZA,2023-07-19
103,haiku-pauwela,20.9219,-156.3051,30.01,65,20,13.89,US,2023-07-19
104,alice springs,-23.7,133.8833,17.75,45,3,3.6,AU,2023-07-19
105,fonte boa,-2.4959,-66.2662,23.38,90,100,0.16,BR,2023-07-19
106,ta`u,-14.2336,-169.5144,26.41,81,96,9.36,AS,2023-07-19
107,paracuru,-3.41,-39.0306,27.84,75,8,6.17,BR,2023-07-19
108,pospelikha,51.95,81.7667,22.28,58,100,3.86,RU,2023-07-19
109,alofi,-19.0595,-169.9187,23.94,60,40,7.72,NU,2023-07-19
110,palopo,-2.9996,120.1921,27.64,72,100,1.14,ID,2023-07-19
111,vorgashor,67.5833,63.95,16.89,81,92,2.28,RU,2023-07-19
112,kalmunai,7.4167,81.8167,27.93,60,100,2.97,LK,2023-07-19
113,petropavlovsk-kamchatsky,53.0452,158.6483,17.68,75,15,2.22,RU,2023-07-19
114,port isabel,26.0734,-97.2086,32.05,76,0,8.23,US,2023-07-19
115,paita,-5.0892,-81.1144,22.23,84,22,7.43,PE,2023-07-19
116,pinugay,14.5967,121.2623,29.74,73,40,0.95,PH,2023-07-19
117,invercargill,-46.4,168.35,12.52,68,100,5.76,NZ,2023-07-19
118,bubaque,11.2833,-15.8333,27.2,79,100,4.43,GW,2023-07-19
119,la cruz,23.9167,-106.9,29.31,76,5,2.46,MX,2023-07-19
120,tazovsky,67.4667,78.7,14.8,76,33,3.17,RU,2023-07-19
121,meadow lake,34.8014,-106.5436,35.26,23,94,12.18,US,2023-07-19
122,namdrik,5.5994,168.1028,28.23,78,94,3.09,MH,2023-07-19
123,colonia,50.9333,6.95,16.64,75,0,0.51,DE,2023-07-19
124,camalu,30.85,-116.0667,22.72,70,16,3.8,MX,2023-07-19
125,longyearbyen,78.2186,15.6401,7.91,81,75,0.51,SJ,2023-07-19
126,eisenstadt,47.8457,16.5233,23.47,77,100,1.0,AT,2023-07-19
127,konya,38.1667,32.5,17.71,49,0,1.83,TR,2023-07-19
128,rehoboth,-23.3167,17.0833,8.31,36,0,2.0,NA,2023-07-19
129,richfield,44.8833,-93.283,26.25,49,20,3.6,US,2023-07-19
130,talnakh,69.4865,88.3972,9.94,95,100,3.69,RU,2023-07-19
131,isafjordur,66.0755,-23.124,9.71,78,95,0.17,IS,2023-07-19
132,qui nhon,13.7667,109.2333,29.91,66,100,3.35,VN,2023-07-19
133,barcelos,41.5388,-8.6151,18.25,92,0,0.58,PT,2023-07-19
134,fort bragg,35.139,-79.006,29.91,70,0,3.09,US,2023-07-19
135,esquina,-30.0144,-59.5272,5.25,66,88,2.26,AR,2023-07-19
136,kerikeri,-35.2268,173.9474,16.62,80,65,0.89,NZ,2023-07-19
137,yellowknife,62.456,-114.3525,25.29,41,75,2.06,CA,2023-07-19
138,carnarvon,-24.8667,113.6333,18.61,73,100,10.76,AU,2023-07-19
139,whitehorse,60.7161,-135.0538,15.43,72,100,6.17,CA,2023-07-19
140,shetpe,44.1667,52.1167,21.44,72,27,5.95,KZ,2023-07-19
141,zaozersk,69.4005,32.4476,14.32,83,94,1.43,RU,2023-07-19
142,wakkanai,45.4094,141.6739,19.99,83,75,2.68,JP,2023-07-19
143,ketchikan,55.3422,-131.6461,15.99,94,100,6.17,US,2023-07-19
144,gogrial,8.5332,28.1004,22.23,90,68,1.55,SS,2023-07-19
145,kilindoni,-7.9139,39.6668,24.82,79,100,6.65,TZ,2023-07-19
146,christchurch,-43.5333,172.6333,17.17,43,16,2.57,NZ,2023-07-19
147,hermanus,-34.4187,19.2345,10.45,76,54,7.49,ZA,2023-07-19
148,manokwari,-0.8667,134.0833,29.19,71,40,1.4,ID,2023-07-19
149,romita,20.8667,-101.5167,28.35,26,40,3.09,MX,2023-07-19
150,kone,-21.0595,164.8658,21.41,82,100,2.35,NC,2023-07-19
151,shorapur,16.5167,76.75,22.27,86,100,6.73,IN,2023-07-19
152,tamanrasset,22.785,5.5228,25.95,14,0,1.54,DZ,2023-07-19
153,tura,25.5198,90.2201,27.16,82,99,2.02,IN,2023-07-19
154,veshenskaya,49.6303,41.7334,18.32,95,100,5.07,RU,2023-07-19
155,kaoma,-14.7833,24.8,9.49,53,0,2.61,ZM,2023-07-19
156,kisangani,0.5167,25.2,22.89,85,100,1.03,CD,2023-07-19
157,bredasdorp,-34.5322,20.0403,8.18,86,46,4.91,ZA,2023-07-19
158,castillos,-34.1667,-53.8333,5.91,78,65,1.95,UY,2023-07-19
159,lagunas,-5.2269,-75.6753,22.47,95,90,0.59,PE,2023-07-19
160,malabar,-33.9667,151.25,16.68,38,0,5.66,AU,2023-07-19
161,ust-nera,64.5667,143.2,23.56,42,88,3.45,RU,2023-07-19
162,altay,47.8667,88.1167,27.09,27,0,1.26,CN,2023-07-19
163,lazaro cardenas,17.9583,-102.2,28.69,77,99,2.11,MX,2023-07-19
164,buka,40.8108,69.1986,27.11,37,1,2.55,UZ,2023-07-19
165,kifri,34.6959,44.9661,30.4,12,0,1.64,IQ,2023-07-19
166,hamilton,39.1834,-84.5333,24.45,86,75,1.54,US,2023-07-19
167,labasa,-16.4167,179.3833,24.95,76,100,6.13,FJ,2023-07-19
168,midvagur,62.0511,-7.1939,8.46,87,100,11.83,FO,2023-07-19
169,kavaratti,10.5669,72.642,28.05,78,98,9.75,IN,2023-07-19
170,alappuzha,9.49,76.3264,26.53,86,100,5.46,IN,2023-07-19
171,casper,42.8666,-106.3131,30.4,28,0,3.58,US,2023-07-19
172,thinadhoo,0.5333,72.9333,27.89,73,56,2.78,MV,2023-07-19
173,aykhal,66.0,111.5,19.63,54,10,10.49,RU,2023-07-19
174,chilaw,7.5758,79.7953,28.01,86,99,9.29,LK,2023-07-19
175,embarcacion,-23.209,-64.096,12.9,87,100,0.6,AR,2023-07-19
176,hagere maryam,5.6333,38.2333,12.13,91,76,1.25,ET,2023-07-19
177,stabat,3.761,98.4513,26.11,86,100,1.24,ID,2023-07-19
178,east london,-33.0153,27.9116,15.52,70,100,11.29,ZA,2023-07-19
179,slave lake,55.2834,-114.769,18.99,68,100,4.12,CA,2023-07-19
180,sinabang,2.4803,96.3801,27.02,80,65,0.24,ID,2023-07-19
181,arrifes,37.7667,-25.7,18.14,82,20,2.06,PT,2023-07-19
182,cestos city,5.46,-9.5828,24.67,86,100,3.91,LR,2023-07-19
183,kudymkar,59.0173,54.656,15.0,99,100,1.84,RU,2023-07-19
184,holualoa,19.6228,-155.9522,27.91,76,40,4.63,US,2023-07-19
185,miguel ahumada,30.6167,-106.5167,36.87,10,0,4.46,MX,2023-07-19
186,iskateley,67.6803,53.1512,17.85,81,74,1.18,RU,2023-07-19
187,nurmijarvi,60.4641,24.8073,13.49,97,20,3.09,FI,2023-07-19
188,san julian,21.0167,-102.1667,19.87,39,16,0.99,MX,2023-07-19
189,altai,46.3722,96.2583,18.86,34,66,1.26,MN,2023-07-19
190,obock,12.25,43.0833,30.13,28,90,1.68,DJ,2023-07-19
191,tolanaro,-25.0319,46.9987,20.04,94,40,8.23,MG,2023-07-19
192,kirakira,-10.4544,161.9205,28.58,77,93,3.51,SB,2023-07-19
193,weno,7.4515,151.8468,29.97,79,100,3.09,FM,2023-07-19
194,taroa,8.7058,171.2275,28.2,80,100,5.54,MH,2023-07-19
195,boali,4.8005,18.1275,21.81,94,83,0.95,CF,2023-07-19
196,geraldton,-28.7667,114.6,16.23,59,98,9.77,AU,2023-07-19
197,afif,23.9065,42.9172,28.59,14,19,4.92,SA,2023-07-19
198,klamath falls,42.2249,-121.7817,33.82,25,0,6.69,US,2023-07-19
199,vargashi,55.3556,65.8467,16.58,91,10,3.9,RU,2023-07-19
200,deltebre,40.7499,0.7868,25.4,89,87,3.84,ES,2023-07-19
201,soio,-6.1349,12.3689,21.05,91,54,1.24,AO,2023-07-19
202,port saint john's,-31.6229,29.5448,17.72,85,44,7.43,ZA,2023-07-19
203,howrah,22.5892,88.3103,29.0,89,40,2.57,IN,2023-07-19
204,taungoo,18.9333,96.4333,27.44,83,64,2.32,MM,2023-07-19
205,jiayuguan,39.8167,98.3,25.69,26,100,5.83,CN,2023-07-19
206,karera,25.4667,78.15,30.03,69,100,3.95,IN,2023-07-19
207,baise city,23.8997,106.6133,25.38,94,100,2.1,CN,2023-07-19
208,sterling,39.0062,-77.4286,27.76,70,20,2.06,US,2023-07-19
209,filingue,14.3521,3.3168,32.85,43,86,5.66,NE,2023-07-19
210,usogorsk,63.4106,48.6872,19.06,73,12,0.81,RU,2023-07-19
211,kourou,5.1552,-52.6478,26.03,90,62,3.77,GF,2023-07-19
212,loen,7.7601,168.2307,28.48,71,52,4.49,MH,2023-07-19
213,vilyuchinsk,52.9306,158.4028,18.63,73,14,0.93,RU,2023-07-19
